id,long,lat,dro1945,dro2045B1,dro2095B1,dro2045A1fi,dro2095A1fi,gdd1945,gdd2045B1,gdd2095B1,gdd2045A1fi,gdd2095A1fi,Tc1945,Tc2045B1,Tc2095B1,Tc2045A1fi,Tc2095A1fi,Tw1945,Tw2045B1,Tw2095B1,Tw2045A1fi,Tw2095A1fi
29532,31.08,40.08,0.54,0.568,0.602,0.59,0.66,2480,3089,3427,3356,4695,0.1,2.2,3.5,2.5,6,21.1,25,27.1,27.1,35.1
29533,31.08,40.25,0.44,0.466,0.508,0.5,0.58,2090,2676,2991,2923,4138,-1.2,1.1,2,1.4,4.5,19.3,23.3,25.3,25.4,33.4
29534,31.08,40.42,0.4,0.429,0.471,0.46,0.55,2040,2633,2942,2874,4090,-1.2,1.3,2,1.5,4.5,19,23.1,25.2,25.1,33.1
29535,31.08,40.58,0.36,0.388,0.429,0.42,0.51,2005,2605,2918,2844,4064,-0.9,1.5,2.3,1.8,4.9,18.6,22.9,25,24.9,32.9
29536,31.08,40.75,0.34,0.348,0.378,0.38,0.48,2422,3067,3425,3328,4711,1.2,3.8,4.6,4.1,7.2,20.1,24.6,26.7,26.6,34.5
29537,31.08,40.92,0.28,0.281,0.322,0.31,0.43,2603,3287,3683,3570,4935,2.5,5.1,5.9,5.5,8.5,20.6,24.6,26.6,26.4,33.7
29538,31.08,41.08,0.23,0.234,0.268,0.26,0.37,2684,3447,3832,3706,5019,3.8,6,6.8,6.6,9.4,20.6,24.4,26.2,25.8,32.1
29539,31.08,46.58,0.49,0.567,0.577,0.58,0.61,2417,2964,3333,3171,4489,-3.9,0.1,1.1,0.8,4.5,22.4,25.3,27.5,26.4,33.4
29540,31.08,46.75,0.47,0.548,0.558,0.57,0.59,2414,2956,3317,3157,4457,-4.1,-0.1,1,0.6,4.4,22.4,25.4,27.5,26.4,33.4
29541,31.08,46.92,0.46,0.539,0.549,0.56,0.59,2425,2969,3333,3173,4475,-4.4,-0.1,1.1,0.4,4.5,22.5,25.4,27.7,26.6,33.5
29542,31.08,47.08,0.44,0.519,0.533,0.55,0.58,2387,2940,3302,3146,4444,-4.7,-0.4,0.8,0.2,4.3,22.3,25.5,27.4,26.6,33.3
29543,31.08,47.25,0.42,0.508,0.519,0.53,0.57,2353,2903,3257,3113,4377,-5.1,-0.6,0.6,-0.1,4.1,22.2,25.4,27.4,26.5,33.1
29544,31.08,47.42,0.4,0.489,0.503,0.52,0.56,2321,2873,3226,3079,4335,-5.4,-0.8,0.4,-0.3,3.9,22.1,25.2,27.2,26.3,33.1
29545,31.08,47.58,0.38,0.471,0.486,0.49,0.55,2305,2853,3201,3056,4295,-5.6,-0.9,0.3,-0.5,3.8,22,25.1,27.1,26.2,32.9
29546,31.08,47.75,0.37,0.469,0.48,0.49,0.55,2292,2848,3200,3054,4302,-5.8,-0.8,0.3,-0.5,3.9,22,25.1,27,26.2,32.9
29547,31.08,47.92,0.35,0.449,0.466,0.48,0.53,2251,2805,3155,3010,4239,-6.1,-1.2,0,-0.9,3.5,21.9,25,26.9,26.1,32.7
29548,31.08,48.08,0.33,0.43,0.444,0.46,0.52,2210,2770,3111,2975,4202,-6.3,-1.3,-0.1,-1.1,3.3,21.7,24.9,26.8,26,32.5
29549,31.08,48.25,0.31,0.41,0.429,0.44,0.5,2178,2734,3079,2942,4159,-6.4,-1.4,-0.3,-1.1,3.1,21.5,24.7,26.6,25.7,32.3
29550,31.08,48.42,0.27,0.382,0.402,0.42,0.49,2123,2675,3017,2880,4085,-6.6,-1.7,-0.6,-1.4,2.9,21.2,24.2,26.2,25.4,32.1
29551,31.08,48.58,0.24,0.357,0.377,0.4,0.48,2086,2628,2961,2834,4031,-6.6,-1.7,-0.6,-1.5,2.9,20.8,23.9,26,25,31.8
29552,31.08,48.75,0.23,0.342,0.366,0.39,0.47,2077,2631,2964,2834,4030,-6.4,-1.8,-0.7,-1.3,2.8,20.8,23.8,26.1,25,31.8
29553,31.08,48.92,0.22,0.319,0.357,0.37,0.47,2038,2590,2921,2797,3992,-6.4,-1.8,-0.8,-1.3,2.8,20.5,23.5,25.8,24.7,31.6
29554,31.08,49.08,0.2,0.306,0.345,0.36,0.46,2015,2552,2879,2764,3948,-6.5,-1.8,-0.8,-1.6,2.7,20.4,23.3,25.6,24.4,31.4
29555,31.08,49.25,0.19,0.296,0.333,0.34,0.46,1976,2511,2847,2724,3908,-6.5,-1.9,-0.8,-1.6,2.7,20.2,23.1,25.5,24.2,31.3
29556,31.08,49.42,0.2,0.299,0.338,0.34,0.46,2034,2570,2904,2776,3971,-6.2,-1.6,-0.6,-1.4,2.9,20.4,23.3,25.6,24.3,31.4
29557,31.08,49.58,0.18,0.286,0.324,0.32,0.45,2018,2553,2888,2762,3959,-6.3,-1.5,-0.5,-1.5,3,20.5,23.1,25.5,24.3,31.3
29558,31.08,49.75,0.18,0.282,0.32,0.32,0.44,2038,2580,2904,2783,3988,-6.1,-1.3,-0.3,-1.4,3.2,20.4,23.2,25.5,24.3,31.4
29559,31.08,49.92,0.16,0.263,0.303,0.3,0.43,2017,2546,2875,2751,3950,-6.2,-1.5,-0.4,-1.4,3.1,20.4,23,25.4,24.1,31.2
29560,31.08,50.08,0.17,0.269,0.307,0.3,0.43,2065,2609,2942,2814,4016,-6.1,-1.2,-0.2,-1.3,3.3,20.5,23.3,25.6,24.4,31.4
29561,31.08,50.25,0.15,0.249,0.289,0.28,0.41,2044,2566,2907,2781,3977,-6.2,-1.3,-0.2,-1.4,3.2,20.5,23,25.4,24.2,31.2
29562,31.08,50.42,0.15,0.241,0.282,0.27,0.41,2047,2560,2896,2770,3975,-6.2,-1.2,-0.2,-1.3,3.3,20.5,23,25.4,24.2,31.2
29563,31.08,50.58,0.13,0.222,0.266,0.26,0.39,2017,2542,2869,2742,3938,-6.2,-1.2,-0.2,-1.4,3.3,20.3,22.9,25.2,24,31
29564,31.08,50.75,0.12,0.204,0.249,0.24,0.38,1996,2499,2834,2701,3891,-6.5,-1.4,-0.4,-1.4,3.1,20.3,22.7,25.1,23.8,30.8
29565,31.08,50.92,0.1,0.189,0.232,0.22,0.36,1949,2448,2774,2640,3817,-6.7,-1.6,-0.6,-1.4,2.9,20.1,22.5,24.7,23.5,30.5
29566,31.08,51.08,0.08,0.172,0.217,0.2,0.34,1911,2405,2726,2597,3764,-6.8,-1.9,-0.8,-1.4,2.7,19.9,22.4,24.5,23.4,30.1
29567,31.08,51.25,0.07,0.157,0.203,0.19,0.33,1882,2361,2687,2556,3722,-7.1,-2,-0.9,-1.5,2.7,19.7,22.1,24.2,23.1,29.8
29568,31.08,51.42,0.05,0.136,0.183,0.17,0.31,1825,2307,2625,2494,3654,-7.4,-2.3,-1.3,-1.7,2.4,19.4,21.8,24.1,22.8,29.6
29569,31.08,51.58,0.04,0.119,0.162,0.15,0.29,1796,2255,2568,2446,3587,-7.6,-2.5,-1.4,-1.6,2.2,19.3,21.5,23.8,22.5,29.2
29570,31.08,51.75,0.04,0.112,0.158,0.14,0.28,1784,2251,2564,2435,3575,-7.6,-2.6,-1.6,-1.7,2,19.3,21.5,23.8,22.4,29.2
29571,31.08,51.92,0.03,0.106,0.154,0.13,0.27,1799,2257,2569,2440,3580,-7.6,-2.6,-1.6,-1.7,2.1,19.3,21.5,23.8,22.4,29.2
29572,31.08,52.08,0.03,0.104,0.149,0.13,0.27,1788,2244,2551,2428,3560,-7.7,-2.8,-1.7,-1.9,1.9,19.2,21.4,23.7,22.3,29.1
29573,31.08,52.25,0.03,0.097,0.143,0.12,0.27,1783,2241,2548,2423,3553,-7.7,-2.8,-1.7,-1.9,1.9,19.2,21.4,23.7,22.3,29
29574,31.08,52.42,0.02,0.091,0.136,0.12,0.26,1757,2219,2524,2402,3526,-7.9,-2.8,-1.8,-2,1.8,19.1,21.3,23.5,22.2,28.9
29575,31.08,52.58,0.02,0.086,0.134,0.12,0.26,1742,2188,2502,2373,3495,-7.9,-3,-1.9,-2.1,1.7,19,21.1,23.4,22.1,28.8
29576,31.08,52.75,0.02,0.075,0.121,0.11,0.25,1720,2172,2476,2350,3466,-8,-3,-2,-2.2,1.6,18.9,21,23.3,21.9,28.7
29577,31.08,52.92,0.02,0.068,0.116,0.1,0.25,1684,2126,2428,2303,3409,-8.2,-3.3,-2.2,-2.4,1.4,18.7,20.8,23.1,21.8,28.5
29578,31.08,53.08,0.02,0.058,0.109,0.09,0.24,1649,2076,2376,2258,3348,-8.4,-3.4,-2.4,-2.5,1.4,18.6,20.6,22.8,21.6,28.2
29579,31.08,53.25,0.02,0.054,0.103,0.08,0.23,1627,2055,2351,2237,3320,-8.3,-3.6,-2.5,-2.7,1.2,18.4,20.5,22.7,21.4,28.1
29580,31.08,53.42,0.02,0.054,0.104,0.08,0.23,1627,2054,2353,2230,3323,-8.3,-3.6,-2.5,-2.6,1.3,18.4,20.5,22.7,21.4,28.1
29581,31.08,53.58,0.02,0.056,0.104,0.07,0.23,1606,2036,2334,2208,3293,-8.4,-3.6,-2.5,-2.7,1.2,18.3,20.4,22.6,21.3,28
29582,31.08,53.75,0.02,0.045,0.096,0.06,0.22,1579,2003,2305,2179,3240,-8.5,-3.8,-2.7,-2.8,1.2,18.2,20.2,22.4,21.1,27.5
29583,31.08,53.92,0.02,0.041,0.088,0.06,0.21,1557,1972,2255,2136,3186,-8.6,-3.8,-2.7,-2.8,1.2,18.2,20.1,22,20.9,27
29584,31.08,54.08,0.02,0.04,0.088,0.05,0.2,1548,1970,2262,2134,3173,-8.6,-3.8,-2.8,-2.9,1.1,18,20,22.1,20.8,26.9
29585,31.08,54.25,0.02,0.03,0.076,0.04,0.18,1521,1937,2221,2096,3125,-8.7,-4,-3,-3.1,0.9,18,19.8,21.9,20.6,26.8
29586,31.08,54.42,0.02,0.027,0.071,0.04,0.17,1504,1910,2193,2066,3089,-8.8,-4,-2.9,-3.1,0.9,17.8,19.8,21.9,20.4,26.6
29587,31.08,54.58,0.02,0.036,0.078,0.04,0.18,1516,1939,2221,2096,3116,-8.7,-3.9,-2.8,-3,1,17.9,19.8,21.9,20.5,26.6
29588,31.08,54.75,0.02,0.037,0.085,0.05,0.19,1511,1944,2229,2099,3125,-8.6,-3.9,-2.8,-3,1.1,17.9,19.8,21.9,20.6,26.5
29589,31.08,54.92,0.02,0.037,0.086,0.05,0.19,1493,1917,2201,2077,3090,-8.8,-4,-2.9,-3.1,1,17.9,19.7,21.9,20.5,26.4
29590,31.08,55.08,0.02,0.036,0.086,0.05,0.18,1449,1882,2166,2037,3047,-8.9,-4.2,-3.1,-3.3,0.7,17.5,19.6,21.7,20.3,26.3
29591,31.08,55.25,0.02,0.047,0.099,0.06,0.19,1476,1912,2197,2068,3083,-8.8,-4.1,-3,-3.1,0.9,17.8,19.8,21.8,20.5,26.4
29592,31.08,55.42,0.02,0.056,0.108,0.07,0.2,1469,1911,2191,2068,3080,-8.8,-4.1,-3,-3.2,0.8,17.8,19.7,21.8,20.5,26.4
29593,31.08,55.58,0.02,0.059,0.113,0.07,0.21,1452,1899,2187,2052,3063,-8.8,-4.2,-3.1,-3.3,0.7,17.6,19.8,21.8,20.5,26.4
29594,31.08,55.75,0.02,0.067,0.118,0.08,0.2,1445,1894,2175,2050,3055,-8.9,-4.3,-3.2,-3.4,0.7,17.7,19.9,21.8,20.6,26.4
29595,31.08,55.92,0.02,0.063,0.117,0.08,0.2,1428,1864,2144,2022,3020,-9,-4.4,-3.3,-3.5,0.5,17.7,19.7,21.6,20.4,26.2
29596,31.08,56.08,0.02,0.07,0.121,0.08,0.2,1428,1861,2138,2019,3021,-9,-4.6,-3.5,-3.6,0.4,17.7,19.7,21.6,20.4,26.2
29597,31.08,56.25,0.02,0.059,0.104,0.07,0.19,1380,1815,2084,1958,2933,-9.3,-4.6,-3.5,-3.8,0.3,17.4,19.4,21.4,20,25.9
29598,31.08,56.42,0.02,0.065,0.103,0.07,0.18,1404,1824,2094,1970,2941,-9.2,-4.5,-3.3,-3.6,0.5,17.6,19.5,21.3,20.1,25.7
29599,31.08,56.58,0.02,0.074,0.109,0.09,0.18,1446,1861,2128,2000,2964,-8.9,-4.3,-3.1,-3.5,0.6,17.8,19.7,21.4,20.3,25.4
29600,31.08,56.75,0.02,0.075,0.107,0.08,0.18,1452,1861,2126,1998,2960,-8.9,-4.3,-3,-3.5,0.6,17.9,19.9,21.2,20.5,25.1
29601,31.08,56.92,0.02,0.068,0.099,0.08,0.17,1451,1847,2110,1983,2935,-8.8,-4.4,-3.2,-3.6,0.5,17.9,19.8,21.2,20.4,25
29602,31.08,57.08,0.02,0.064,0.095,0.08,0.17,1448,1832,2099,1975,2926,-8.9,-4.5,-3.3,-3.7,0.4,18,19.8,21.2,20.4,25
29603,31.08,57.25,0.02,0.052,0.085,0.06,0.15,1431,1804,2076,1945,2885,-8.9,-4.8,-3.6,-4,0.1,17.9,19.8,21.1,20.4,24.9
29604,31.08,57.42,0.02,0.053,0.087,0.07,0.16,1411,1783,2050,1920,2852,-9.1,-4.9,-3.6,-4.1,0,17.9,19.7,21,20.3,24.8
29605,31.08,57.58,0.02,0.052,0.084,0.06,0.15,1409,1775,2030,1912,2845,-9.1,-4.9,-3.7,-4.1,0,17.9,19.7,20.9,20.3,24.7
29606,31.08,57.75,0.02,0.053,0.085,0.06,0.15,1403,1773,2030,1912,2841,-8.9,-5,-3.7,-4.2,0,17.8,19.8,21,20.4,24.7
29607,31.08,57.92,0.02,0.05,0.085,0.06,0.15,1402,1770,2031,1904,2834,-9,-5,-3.8,-4.3,-0.1,17.9,19.8,21.1,20.4,24.7
29608,31.08,58.08,0.02,0.059,0.092,0.07,0.16,1410,1767,2023,1905,2836,-9.1,-5.1,-3.8,-4.3,-0.1,18,19.9,21.1,20.5,24.7
29609,31.08,58.25,0.02,0.058,0.092,0.07,0.16,1421,1773,2036,1912,2852,-9.1,-5,-3.7,-4.3,-0.1,18.1,19.9,21.2,20.6,24.8
29610,31.08,58.42,0.02,0.049,0.075,0.06,0.15,1395,1745,2003,1884,2813,-9.1,-5.1,-3.9,-4.4,-0.2,18,19.9,21.1,20.5,24.6
29611,31.08,58.58,0.02,0.035,0.057,0.05,0.13,1371,1728,1978,1859,2787,-9.2,-5.3,-4,-4.5,-0.3,17.8,19.8,21,20.4,24.6
29612,31.08,58.75,0.02,0.022,0.041,0.04,0.12,1372,1728,1980,1859,2793,-9.2,-5.2,-3.9,-4.5,-0.2,17.9,19.8,21,20.3,24.4
29613,31.08,58.92,0.02,0.018,0.02,0.03,0.1,1366,1726,1973,1863,2801,-9.1,-5.2,-3.9,-4.5,-0.2,17.9,19.8,21,20.4,24.3
29614,31.08,59.08,0.02,0.018,0.018,0.02,0.09,1377,1747,1995,1888,2837,-9,-5.2,-3.8,-4.4,-0.1,18,20,21.2,20.6,24.3
29615,31.08,59.25,0.02,0.018,0.018,0.02,0.08,1391,1768,2016,1907,2872,-8.9,-4.9,-3.6,-4.2,0.1,18.1,20.1,21.2,20.6,24.3
29616,31.08,59.42,0.02,0.018,0.018,0.02,0.06,1391,1781,2031,1916,2876,-8.7,-4.9,-3.5,-4.1,0.2,18.1,20.1,21.2,20.6,24.2
29617,31.08,59.58,0.02,0.018,0.018,0.02,0.05,1386,1787,2041,1916,2888,-8.8,-4.8,-3.5,-4.1,0.2,18.1,20.1,21.3,20.7,24.3
29618,31.08,59.75,0.02,0.018,0.019,0.02,0.06,1404,1815,2076,1952,2943,-8.6,-4.6,-3.2,-3.9,0.5,18.2,20.2,21.4,20.8,24.4
29619,31.08,59.92,0.02,0.018,0.019,0.02,0.05,1416,1832,2095,1967,2973,-8.4,-4.5,-3.1,-3.8,0.6,18.3,20.4,21.6,20.9,24.5
