afelong,afelat,ATEAMid,abialb,betnan,betpen,betpub,cassat,fagsyl,ileaqu,juncomm,junoxy,lardec,picabi,pinhal,pinsyl,quecoc,queile,quepub,querob
14.484,64.248,1441,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0
14.492,63.799,1442,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0
14.5,63.35,1443,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0
14.508,62.901,1444,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0
14.515,62.453,1445,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0
14.522,62.004,1446,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0
14.529,61.555,1447,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0
14.536,61.106,1448,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0
14.543,60.657,1449,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0
14.549,60.209,1450,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1
14.555,59.76,1451,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1
14.561,59.311,1452,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1
14.567,58.861,1453,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1
14.572,58.412,1454,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1
14.577,57.963,1455,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1
14.583,57.514,1456,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1
14.588,57.065,1457,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1
14.593,56.616,1458,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1
14.597,56.167,1459,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1
14.619,53.921,1461,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1
14.623,53.471,1462,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1
14.627,53.022,1463,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1
14.631,52.573,1464,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1
14.635,52.123,1465,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1
14.638,51.674,1466,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1
14.642,51.224,1467,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1
14.645,50.775,1468,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1
14.649,50.325,1469,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1
14.652,49.876,1470,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1
14.655,49.426,1471,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1
14.658,48.976,1472,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1
14.661,48.526,1473,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1
14.664,48.076,1474,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1
14.667,47.626,1475,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1
14.67,47.176,1476,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1
14.673,46.727,1477,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1
14.676,46.277,1478,1,0,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1
14.678,45.827,1479,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1
14.681,45.377,1480,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
14.683,44.927,1481,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
14.686,44.477,1482,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0
14.697,42.225,1483,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
14.699,41.775,1484,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0
14.701,41.325,1485,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1
14.703,40.875,1486,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1
